method,time,mse
polyreg,0.9277992248535156,0.029568106188097507
lnreg,0.0287513732910156,0.0306356500830757
rdfr,0.030198335647583,0.0306356500830757
xgboot,0.3222634792327881,0.029545458518888
dnn,83.42066645622253,0.0294935160356703
