method,time,mse
polyreg,1.71351957321167,0.04161933108093147
lnreg,0.0418012142181396,0.0420988751750239
xgboot,0.2865927219390869,0.0392795884697264
rdfr,0.0402491092681884,0.0420988751750239
dnn,39.1496570110321,0.0405791556443294
