method,time,mse
dnn,66.79451060295105,0.0234514794339851
polyreg,0.5685825347900391,0.023041760520168385
lnreg,0.023599624633789,0.0247328865234343
rdfr,0.0298812389373779,0.0247328865234343
xgboot,0.451697826385498,0.0240912069189427
