method,time,mse
dnn,23.965956211090088,0.0629335126615197
polyreg,0.943692684173584,0.06544177186058865
lnreg,0.0183198451995849,0.0656684179073697
rdfr,0.0210516452789306,0.0656684179073697
xgboot,0.3216190338134765,0.063715451715226
